name,party
Annika Sipola,Kokoomus
Ted Apter,Kokoomus
Mika Kasonen,Kokoomus
Ville Kaunisto,Kokoomus
Susanna Kisner,Kokoomus
Maria Miala,Kokoomus
Sirpa Pietikäinen,Kokoomus
Susanne Päivärinta,Kokoomus
Sakari Pääkkö,Kokoomus
Henriina Rantala,Kokoomus
Maria Rautanen,Kokoomus
Markku Rentto,Kokoomus
Aura Salla,Kokoomus
Janne Sankelo,Kokoomus
Max Schulman,Kokoomus
Sauli Seittenranta,Kokoomus
Pekka Toveri,Kokoomus
Jocka Träskbäck,Kokoomus
Henna Virkkunen,Kokoomus
Mika Aaltola,Kokoomus
Tanja Airaksinen,SDP
Piia Elo,SDP
Maria Guzenina,SDP
Eero Heinäluoma,SDP
Miina-Anniina Heiskanen,SDP
Viivi Järvelä,SDP
Emilia Kangaskolkka,SDP
Jessy Eckerman,SDP
Kimmo Kiljunen,SDP
Tiina Kyllönen,SDP
Suna Kymäläinen,SDP
Emmi Lintonen,SDP
Ville Merinen,SDP
Patrik Borg,SDP
Päivi Niemi-Laine,SDP
Pinja Perholehto,SDP
Dimitri Qvintus,SDP
Piritta Rantanen,SDP
Pekka Komu,SDP
Eva Biaudet,RKP
Johanna Borg,RKP
Samuel Broman,RKP
Oscar Byman,RKP
Oona Hagman,RKP
Mira Bäck,RKP
Dan Cederlöf,RKP
Anna-Maja Henriksson,RKP
MAGNUS HERTZBERG,RKP
Wilhelm von Nandelstadh,RKP
Mikael Jern,RKP
Henrik Meinander,RKP
Ingrid Möller,RKP
Anton Nilsson,RKP
Kalle Pusa,RKP
Frida Sigfrids,RKP
Anita Westerholm,RKP
Niclas Sjöskog,RKP
Julia Ståhle,RKP
Nicke Wulff,RKP
Perttu Helin,Keskusta
Petri Honkonen,Keskusta
Kati Häkkinen,Keskusta
Venla Kajan,Keskusta
Elsi Katainen,Keskusta
Timo Kaunisto,Keskusta
Piia Koriseva,Keskusta
Katri Kulmuni,Keskusta
Mika Lintilä,Keskusta
Valtteri Paakki,Keskusta
Petri Rinne,Keskusta
Petri Roininen,Keskusta
Sami Ronkola,Keskusta
Joonas Soukkio,Keskusta
Joel Taskila,Keskusta
Antti Heikkilä,Keskusta
Marju Silander,Keskusta
Roosa Grönberg,Keskusta
Ira Toppinen,Keskusta
Sanna Antikainen,Perussuomalaiset
Johanna Ekman,Perussuomalaiset
Kaisa Garedew,Perussuomalaiset
Simo Grönroos,Perussuomalaiset
Vilhelm Junnila,Perussuomalaiset
Joonas Kiviranta,Perussuomalaiset
Ari Koponen,Perussuomalaiset
Lauri Laitinen,Perussuomalaiset
Ilpo Heltimoinen,Perussuomalaiset
Arto Luukkanen,Perussuomalaiset
Teija Makkonen,Perussuomalaiset
Mikko Polvinen,Perussuomalaiset
Mika Niikko,Perussuomalaiset
Mauri Peltokangas,Perussuomalaiset
Pirkko Ruohonen-Lerner,Perussuomalaiset
Sara Seppänen,Perussuomalaiset
Sebastian Tynkkynen,Perussuomalaiset
Veikko Vallin,Perussuomalaiset
Nanna Väätäinen,Perussuomalaiset
Thomas Elfgren,Vihreät
Unna Eteläinen,Vihreät
Atte Harjanne,Vihreät
Inka Hopsu,Vihreät
Timo Huhtamäki,Vihreät
Miro Ilvonen,Vihreät
Perttu Jussila,Vihreät
Tuire Kaimio,Vihreät
Silja Keränen,Vihreät
Tuuli Kousa,Vihreät
Ari-Pekka Liukkonen,Vihreät
Rosa Meriläinen,Vihreät
Krista Mikkonen,Vihreät
Ville Niinistö,Vihreät
Maria Ohisalo,Vihreät
Niina Ratilainen,Vihreät
Shawn Huff,Vihreät
Peppi Seppälä,Vihreät
Susa Vikeväkorva,Vihreät
Julia Sangervo,Vihreät
Mikko Aaltonen,Vasemmistoliitto
Li Andersson,Vasemmistoliitto
Gashaw Bibani,Vasemmistoliitto
Paco Mamadou Diop,Vasemmistoliitto
Jessi Jokelainen,Vasemmistoliitto
Jouni Jussinniemi,Vasemmistoliitto
Piia Kilpeläinen-Tuoma,Vasemmistoliitto
Maija Kuivalainen,Vasemmistoliitto
Merja Kyllönen,Vasemmistoliitto
Matleena Käppi,Vasemmistoliitto
Lauri Lindén,Vasemmistoliitto
Ajak Majok,Vasemmistoliitto
Joona Mielonen,Vasemmistoliitto
Minna Minkkinen,Vasemmistoliitto
Riku Nieminen,Vasemmistoliitto
Harri Pikkarainen,Vasemmistoliitto
Sami Säynevirta,Vasemmistoliitto
Jussi Saramo,Vasemmistoliitto
Lotta Tuominen,Vasemmistoliitto
Pinja Vuorinen,Vasemmistoliitto
Matti Heikkinen,Kristillisdemokraatit
Eija-Riitta Korhola,Kristillisdemokraatit
David Pettersson,Kristillisdemokraatit
Marika Visakorpi-Kemppainen,Kristillisdemokraatit
Katriina Hiippavuori,Kristillisdemokraatit
Ari Mönttinen,Kristillisdemokraatit
Tapio Puolimatka,Kristillisdemokraatit
Aki Ruotsala,Kristillisdemokraatit
Tommi Terä,Kristillisdemokraatit
Ann-Niina Turunen,Kristillisdemokraatit
Iina Ilmarinen,Liike Nyt
Heidi Jaari,Liike Nyt
Toni Korhonen,Liike Nyt
Christa Lahto,Liike Nyt
Johanna Leponiemi,Liike Nyt
Nina Nummela,Liike Nyt
Petteri Redsven,Liike Nyt
Mikko Luomala,Liike Nyt
